Cod;Nombres;Sexo
354;Albar;M
355;Alben;M
356;Alberico;M
357;Albert;M
358;Alberta;F
359;Albertina;F
360;Alberto;M
361;Albida;F
362;Albin;M
363;Albina;F
364;Albinka;F
365;Albino;M
366;Albuino;M
367;Alcander;M
368;Alceo;M
369;Alcia;F
370;Alcibiades;M
371;Alcides;M
372;Alcina;F
373;Alcira;F
374;Alcmena;F
375;Alcott;A
376;Alda;F
377;Aldabel;F
378;Aldabella;F
379;Aldair;M
380;Aldan;M
381;Aldana;F
382;Aldara;F
383;Aldea;F
384;Aldegunda;F
385;Aldelmo;M
386;Aldemar;M
387;Alden;M
388;Alder;M
389;Aldercy;F
390;Alderico;M
391;Aldevar;M
392;Aldina;F
393;Aldo;M
394;Ale;A
395;Alea;F
396;Aleandro;M
397;Aleardo;M
398;Alec;M
399;Alecio;M
400;Aleeza;F
401;Alegra;F
402;Alegre;F
403;Alegria;F
404;Aleida;F
405;Aleix;M
406;Alejandra;F
407;Alejandrina;F
408;Alejandro;M
409;Alejo;M
410;Alek;M
411;Aleka;F
412;Aleksan;M
413;Aleksander;M
414;Aleksandra;F
415;Aleksey;M
416;Aleksy;M
417;Aleli;F
418;Alelia;F
419;Alem;M
420;Alen;A
421;Alena;F
422;Alenka;F
423;Aleron;M
424;Alesandra;F
425;Alesandro;M
426;Aleser;M
427;Alesia;F
428;Alesio;M
429;Alessandra;F
430;Alessandro;M
431;Alessia;F
432;Alessio;M
433;Aleta;F
434;Alethea;F
435;Alethia;F
436;Aletta;F
437;Alex;M
438;Alexa;F
439;Alexan;M
440;Alexander;M
441;Alexandra;F
442;Alexandre;M
443;Alexandria;F
444;Alexandrina;F
445;Alexandro;M
446;Alexandros;M
447;Alexeev;M
448;Alexei;M
449;Alexey;M
450;Alexia;F
451;Alexina;F
452;Alexio;M
453;Alexis;M
454;Aley;A
455;Aleya;F
456;Alfa;M
457;Alfeo;M
458;Alfieri;M
459;Alfio;M
460;Alfonsa;F
461;Alfonsina;F
462;Alfonso;M
463;Alfred;M
464;Alfredo;M
465;Algar;M
466;Alger;M
467;Algerico;M
468;Alheli;F
469;Alhue;M
470;Alhueche;A
471;Ali;M
472;Alia;F
473;Alian;A
474;Alibar;M
475;Alice;F
476;Alicia;F
477;Alida;F
478;Alide;F
479;Alides;M
480;Alidia;F
481;Alihuen;A
482;Alik;M
483;Alike;F
484;Aliki;F
485;Alim;M
486;Alima;F
487;Alin;F
488;Alina;F
489;Alinda;F
490;Aline;F
491;Alipio;M
492;Aliquen;M
493;Alira;F
494;Alis;F
495;Alison;F
496;Alissa;F
497;Alistair;M
498;Alister;M
499;Alit;F
500;Alita;F
501;Alithia;F
